Model Performance Metrics:
Root Mean Squared Error: 919.56 HCF
Mean Absolute Error: 555.14 HCF
R² Score: 0.8934
Mean Absolute Percentage Error: 4.66%

Distribution of Errors:
90th percentile error: 1443.60 HCF
95th percentile error: 2225.90 HCF

Sample Predictions:
      Actual  Predicted  Absolute_Error  Percentage_Error
0   10834.01   11096.38          262.37              2.42
1    9881.31   10125.23          243.92              2.47
2   14624.58   14204.57          420.01              2.87
3   11307.15   10891.73          415.42              3.67
4   13677.73   13543.59          134.14              0.98
5   15870.74   15658.45          212.29              1.34
6   16528.70   15829.17          699.53              4.23
7   10648.99   10527.51          121.48              1.14
8   10724.52    9940.28          784.24              7.31
9   16775.76   16705.60           70.16              0.42
10  18656.97   18052.60          604.37              3.24
11  12252.82   11137.14         1115.68              9.11
12   9547.63   10214.31          666.68              6.98
13  10368.38   10849.26          480.88              4.64
14   8930.94    9395.23          464.29              5.20
15   8767.11    8903.85          136.74              1.56
16  10795.25   11374.18          578.93              5.36
17  15454.59   15197.29          257.30              1.66
18  12992.50   12790.03          202.47              1.56
19  11876.70   11881.09            4.39              0.04
