date,borough,consumption_(hcf),year,month,day_of_month,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,season,is_summer,is_winter,rolling_avg_7d,rolling_avg_30d,rolling_std_30d
2013-01-01,BRONX,7114.31,2013,1,1,1,1,1,0,0,1,0,1,7114.31,7114.31,
2013-01-01,BROOKLYN,8844.89,2013,1,1,1,1,1,0,0,1,0,1,8844.89,8844.89,
2013-01-01,MANHATTAN,10862.0,2013,1,1,1,1,1,0,0,1,0,1,10862.0,10862.0,
2013-01-01,QUEENS,7979.23,2013,1,1,1,1,1,0,0,1,0,1,7979.23,7979.23,
2013-01-02,BRONX,7115.94,2013,1,2,2,2,1,0,0,1,0,1,7115.125,7115.125,1.1525840533335066
2013-01-02,BROOKLYN,8728.61,2013,1,2,2,2,1,0,0,1,0,1,8786.75,8786.75,82.22237651637091
2013-01-02,MANHATTAN,10854.7,2013,1,2,2,2,1,0,0,1,0,1,10858.35,10858.35,5.161879502661282
2013-01-02,QUEENS,8026.72,2013,1,2,2,2,1,0,0,1,0,1,8002.975,8002.975,33.58050103854931
2013-01-03,BRONX,7100.62,2013,1,3,3,3,1,0,0,1,0,1,7110.29,7110.29,8.414029950029914
2013-01-03,BROOKLYN,8781.12,2013,1,3,3,3,1,0,0,1,0,1,8784.873333333335,8784.873333333335,58.23079282762051
2013-01-03,MANHATTAN,10909.61,2013,1,3,3,3,1,0,0,1,0,1,10875.436666666666,10875.436666666666,29.819205779721123
2013-01-03,QUEENS,7913.13,2013,1,3,3,3,1,0,0,1,0,1,7973.026666666668,7973.026666666668,57.04851473380653
2013-01-04,BRONX,7125.27,2013,1,4,4,4,1,0,0,1,0,1,7114.035,7114.035,10.16353121049331
2013-01-04,BROOKLYN,8881.13,2013,1,4,4,4,1,0,0,1,0,1,8808.9375,8808.9375,67.65269118815536
2013-01-04,MANHATTAN,10774.4,2013,1,4,4,4,1,0,0,1,0,1,10850.1775,10850.1775,56.07933688088709
2013-01-04,QUEENS,7990.12,2013,1,4,4,4,1,0,0,1,0,1,7977.3,7977.3,47.35751471519597
2013-01-05,BRONX,6233.25,2013,1,5,5,5,1,1,0,1,0,1,6937.878,6937.878,393.997355663715
2013-01-05,BROOKLYN,7539.36,2013,1,5,5,5,1,1,0,1,0,1,8555.022,8555.022,570.7872376551533
2013-01-05,MANHATTAN,9846.34,2013,1,5,5,5,1,1,0,1,0,1,10649.41,10649.41,451.5491272275918
2013-01-05,QUEENS,6999.55,2013,1,5,5,5,1,1,0,1,0,1,7781.75,7781.75,439.18226643388044
2013-01-06,BRONX,6226.14,2013,1,6,6,6,1,1,0,1,0,1,6819.255,6819.255,456.74460017607197
2013-01-06,BROOKLYN,7575.84,2013,1,6,6,6,1,1,0,1,0,1,8391.824999999999,8391.824999999999,648.411922615555
2013-01-06,MANHATTAN,9824.57,2013,1,6,6,6,1,1,0,1,0,1,10511.936666666666,10511.936666666666,525.8429382493091
2013-01-06,QUEENS,7053.71,2013,1,6,6,6,1,1,0,1,0,1,7660.41,7660.41,492.5903207737642
2013-01-07,BRONX,7216.95,2013,1,7,0,7,2,0,0,1,0,1,6876.068571428572,6876.068571428572,443.216461164992
2013-01-07,BROOKLYN,8953.4,2013,1,7,0,7,2,0,0,1,0,1,8472.05,8472.05,628.8222103265757
2013-01-07,MANHATTAN,10846.31,2013,1,7,0,7,2,0,0,1,0,1,10559.704285714284,10559.704285714284,496.38481150740097
2013-01-07,QUEENS,8087.44,2013,1,7,0,7,2,0,0,1,0,1,7721.414285714286,7721.414285714286,477.76041439397704
2013-01-08,BRONX,7273.67,2013,1,8,1,8,2,0,0,1,0,1,6898.834285714286,6925.76875,433.7496023361699
2013-01-08,BROOKLYN,9014.28,2013,1,8,1,8,2,0,0,1,0,1,8496.24857142857,8539.82875,612.9280934856297
2013-01-08,MANHATTAN,10951.88,2013,1,8,1,8,2,0,0,1,0,1,10572.544285714286,10608.72625,480.02438235506014
2013-01-08,QUEENS,8015.78,2013,1,8,1,8,2,0,0,1,0,1,7726.635714285714,7758.21,454.3991100343397
2013-01-09,BRONX,7210.61,2013,1,9,2,9,2,0,0,1,0,1,6912.358571428572,6957.417777777778,416.6969239980591
2013-01-09,BROOKLYN,9005.5,2013,1,9,2,9,2,0,0,1,0,1,8535.804285714285,8591.57,593.9824529184344
2013-01-09,MANHATTAN,11041.99,2013,1,9,2,9,2,0,0,1,0,1,10599.300000000001,10656.866666666667,471.67571397094406
2013-01-09,QUEENS,8179.58,2013,1,9,2,9,2,0,0,1,0,1,7748.472857142858,7805.028888888888,447.6570199506662
2013-01-10,BRONX,7277.96,2013,1,10,3,10,2,0,0,1,0,1,6937.692857142857,6989.472,405.7316020830627
2013-01-10,BROOKLYN,8900.05,2013,1,10,3,10,2,0,0,1,0,1,8552.794285714286,8622.418,568.4447744465206
2013-01-10,MANHATTAN,11078.64,2013,1,10,3,10,2,0,0,1,0,1,10623.447142857143,10699.044,464.2709103099179
2013-01-10,QUEENS,8214.24,2013,1,10,3,10,2,0,0,1,0,1,7791.488571428571,7845.95,441.44747016050644
2013-01-11,BRONX,7328.42,2013,1,11,4,11,2,0,0,1,0,1,6966.714285714285,7020.285454545455,398.2467557021307
2013-01-11,BROOKLYN,9050.85,2013,1,11,4,11,2,0,0,1,0,1,8577.039999999999,8661.366363636364,554.5297474125755
2013-01-11,MANHATTAN,11010.54,2013,1,11,4,11,2,0,0,1,0,1,10657.18142857143,10727.361818181818,450.348329003632
2013-01-11,QUEENS,8241.2,2013,1,11,4,11,2,0,0,1,0,1,7827.357142857143,7881.881818181818,435.419720679213
2013-01-12,BRONX,6328.65,2013,1,12,5,12,2,1,0,1,0,1,6980.342857142858,6962.649166666666,429.0053068215597
2013-01-12,BROOKLYN,7712.84,2013,1,12,5,12,2,1,0,1,0,1,8601.822857142857,8582.3225,595.4188351392963
2013-01-12,MANHATTAN,9964.29,2013,1,12,5,12,2,1,0,1,0,1,10674.031428571428,10663.772500000001,482.59634529613015
2013-01-12,QUEENS,7241.59,2013,1,12,5,12,2,1,0,1,0,1,7861.934285714286,7828.524166666667,454.44396357143444
2013-01-13,BRONX,6388.04,2013,1,13,6,13,2,1,0,1,0,1,7003.471428571429,6918.448461538462,440.57525370902215
2013-01-13,BROOKLYN,7754.72,2013,1,13,6,13,2,1,0,1,0,1,8627.377142857144,8518.66076923077,614.545819561915
2013-01-13,MANHATTAN,10039.17,2013,1,13,6,13,2,1,0,1,0,1,10704.68857142857,10615.726153846153,493.45803371949233
2013-01-13,QUEENS,7253.64,2013,1,13,6,13,2,1,0,1,0,1,7890.495714285715,7784.302307692308,463.3916481435878
2013-01-14,BRONX,7315.64,2013,1,14,0,14,3,0,0,1,0,1,7017.57,6946.819285714286,436.3988222762132
2013-01-14,BROOKLYN,9071.05,2013,1,14,0,14,3,0,0,1,0,1,8644.184285714286,8558.117142857143,608.613642664509
