date,borough,consumption_(hcf),year,month,day_of_month,day_of_week,day_of_year,week_of_year,is_weekend,is_holiday,season,is_summer,is_winter,rolling_avg_7d,rolling_avg_30d,rolling_std_30d
2020-01-01,BRONX,5662.22,2020,1,1,2,1,1,0,0,1,0,1,5662.22,5662.22,
2020-01-01,BROOKLYN,8019.18,2020,1,1,2,1,1,0,0,1,0,1,8019.18,8019.18,
2020-01-01,MANHATTAN,9652.79,2020,1,1,2,1,1,0,0,1,0,1,9652.79,9652.79,
2020-01-01,QUEENS,7500.78,2020,1,1,2,1,1,0,0,1,0,1,7500.78,7500.78,
2020-01-02,BRONX,5460.32,2020,1,2,3,2,1,0,0,1,0,1,5460.32,5460.32,
2020-01-02,BROOKLYN,7980.47,2020,1,2,3,2,1,0,0,1,0,1,7980.47,7980.47,
2020-01-02,MANHATTAN,10088.28,2020,1,2,3,2,1,0,0,1,0,1,10088.28,10088.28,
2020-01-02,QUEENS,7237.45,2020,1,2,3,2,1,0,0,1,0,1,7237.45,7237.45,
2020-01-03,BRONX,5395.31,2020,1,3,4,3,1,0,0,1,0,1,5395.31,5395.31,
2020-01-03,BROOKLYN,8294.06,2020,1,3,4,3,1,0,0,1,0,1,8294.06,8294.06,
2020-01-03,MANHATTAN,9133.35,2020,1,3,4,3,1,0,0,1,0,1,9133.35,9133.35,
2020-01-03,QUEENS,6807.69,2020,1,3,4,3,1,0,0,1,0,1,6807.69,6807.69,
2020-01-04,BRONX,4753.07,2020,1,4,5,4,1,1,0,1,0,1,4753.07,4753.07,
2020-01-04,BROOKLYN,6207.14,2020,1,4,5,4,1,1,0,1,0,1,6207.14,6207.14,
2020-01-04,MANHATTAN,8543.6,2020,1,4,5,4,1,1,0,1,0,1,8543.6,8543.6,
2020-01-04,QUEENS,5757.94,2020,1,4,5,4,1,1,0,1,0,1,5757.94,5757.94,
2020-01-05,BRONX,4458.42,2020,1,5,6,5,1,1,0,1,0,1,4458.42,4458.42,
2020-01-05,BROOKLYN,6971.6,2020,1,5,6,5,1,1,0,1,0,1,6971.6,6971.6,
2020-01-05,MANHATTAN,8925.5,2020,1,5,6,5,1,1,0,1,0,1,8925.5,8925.5,
2020-01-05,QUEENS,5506.14,2020,1,5,6,5,1,1,0,1,0,1,5506.14,5506.14,
2020-01-06,BRONX,5929.89,2020,1,6,0,6,2,0,0,1,0,1,5929.89,5929.89,
2020-01-06,BROOKLYN,7983.84,2020,1,6,0,6,2,0,0,1,0,1,7983.84,7983.84,
2020-01-06,MANHATTAN,9381.57,2020,1,6,0,6,2,0,0,1,0,1,9381.57,9381.57,
2020-01-06,QUEENS,6473.48,2020,1,6,0,6,2,0,0,1,0,1,6473.48,6473.48,
2020-01-07,BRONX,5374.61,2020,1,7,1,7,2,0,0,1,0,1,5374.61,5374.61,
2020-01-07,BROOKLYN,8119.78,2020,1,7,1,7,2,0,0,1,0,1,8119.78,8119.78,
2020-01-07,MANHATTAN,8811.91,2020,1,7,1,7,2,0,0,1,0,1,8811.91,8811.91,
2020-01-07,QUEENS,7100.93,2020,1,7,1,7,2,0,0,1,0,1,7100.93,7100.93,
2020-01-08,BRONX,5359.07,2020,1,8,2,8,2,0,0,1,0,1,5220.62,5359.07,
2020-01-08,BROOKLYN,7832.06,2020,1,8,2,8,2,0,0,1,0,1,7965.56,7832.06,
2020-01-08,MANHATTAN,9343.69,2020,1,8,2,8,2,0,0,1,0,1,8959.16,9343.69,
2020-01-08,QUEENS,7256.66,2020,1,8,2,8,2,0,0,1,0,1,6934.34,7256.66,
2020-01-09,BRONX,5582.7,2020,1,9,3,9,2,0,0,1,0,1,5252.24,5582.7,
2020-01-09,BROOKLYN,7538.74,2020,1,9,3,9,2,0,0,1,0,1,7417.65,7538.74,
2020-01-09,MANHATTAN,9695.23,2020,1,9,3,9,2,0,0,1,0,1,9534.55,9695.23,
2020-01-09,QUEENS,6929.7,2020,1,9,3,9,2,0,0,1,0,1,6749.37,6929.7,
2020-01-10,BRONX,5116.56,2020,1,10,4,10,2,0,0,1,0,1,4940.57,5116.56,
2020-01-10,BROOKLYN,7889.02,2020,1,10,4,10,2,0,0,1,0,1,7898.03,7889.02,
2020-01-10,MANHATTAN,9510.64,2020,1,10,4,10,2,0,0,1,0,1,8985.07,9510.64,
2020-01-10,QUEENS,7082.94,2020,1,10,4,10,2,0,0,1,0,1,6886.73,7082.94,
2020-01-11,BRONX,4537.3,2020,1,11,5,11,2,1,0,1,0,1,4502.06,4537.3,
2020-01-11,BROOKLYN,7217.58,2020,1,11,5,11,2,1,0,1,0,1,7207.66,7217.58,
2020-01-11,MANHATTAN,8957.67,2020,1,11,5,11,2,1,0,1,0,1,8723.12,8957.67,
2020-01-11,QUEENS,6022.63,2020,1,11,5,11,2,1,0,1,0,1,6019.68,6022.63,
2020-01-12,BRONX,4583.73,2020,1,12,6,12,2,1,0,1,0,1,4475.04,4583.73,
2020-01-12,BROOKLYN,6484.07,2020,1,12,6,12,2,1,0,1,0,1,6199.26,6484.07,
2020-01-12,MANHATTAN,9729.86,2020,1,12,6,12,2,1,0,1,0,1,9799.18,9729.86,
2020-01-12,QUEENS,5903.17,2020,1,12,6,12,2,1,0,1,0,1,5903.59,5903.17,
2020-01-13,BRONX,5624.9,2020,1,13,0,13,3,0,0,1,0,1,5439.83,5624.9,
2020-01-13,BROOKLYN,8220.91,2020,1,13,0,13,3,0,0,1,0,1,8309.37,8220.91,
2020-01-13,MANHATTAN,9333.25,2020,1,13,0,13,3,0,0,1,0,1,9438.65,9333.25,
2020-01-13,QUEENS,6057.02,2020,1,13,0,13,3,0,0,1,0,1,6035.45,6057.02,
2020-01-14,BRONX,5549.05,2020,1,14,1,14,3,0,0,1,0,1,5404.88,5549.05,
2020-01-14,BROOKLYN,8112.05,2020,1,14,1,14,3,0,0,1,0,1,7627.34,8112.05,
2020-01-14,MANHATTAN,9247.3,2020,1,14,1,14,3,0,0,1,0,1,9128.4,9247.3,
2020-01-14,QUEENS,7485.05,2020,1,14,1,14,3,0,0,1,0,1,7257.76,7485.05,
2020-01-15,BRONX,5301.65,2020,1,15,2,15,3,0,0,1,0,1,5142.41,5301.65,
2020-01-15,BROOKLYN,8444.59,2020,1,15,2,15,3,0,0,1,0,1,8331.22,8444.59,
2020-01-15,MANHATTAN,9102.34,2020,1,15,2,15,3,0,0,1,0,1,9013.73,9102.34,
2020-01-15,QUEENS,7003.83,2020,1,15,2,15,3,0,0,1,0,1,6999.44,7003.83,
2020-01-16,BRONX,5331.06,2020,1,16,3,16,3,0,0,1,0,1,5189.5,5331.06,
2020-01-16,BROOKLYN,7916.69,2020,1,16,3,16,3,0,0,1,0,1,7526.63,7916.69,
2020-01-16,MANHATTAN,9488.44,2020,1,16,3,16,3,0,0,1,0,1,9348.21,9488.44,
2020-01-16,QUEENS,6971.78,2020,1,16,3,16,3,0,0,1,0,1,6799.63,6971.78,
2020-01-17,BRONX,5134.0,2020,1,17,4,17,3,0,0,1,0,1,4988.13,5134.0,
2020-01-17,BROOKLYN,7936.63,2020,1,17,4,17,3,0,0,1,0,1,7650.55,7936.63,
2020-01-17,MANHATTAN,9274.6,2020,1,17,4,17,3,0,0,1,0,1,9164.06,9274.6,
2020-01-17,QUEENS,7627.34,2020,1,17,4,17,3,0,0,1,0,1,7501.42,7627.34,
2020-01-18,BRONX,4756.73,2020,1,18,5,18,3,1,0,1,0,1,4654.51,4756.73,
2020-01-18,BROOKLYN,6205.25,2020,1,18,5,18,3,1,0,1,0,1,6077.85,6205.25,
2020-01-18,MANHATTAN,9378.16,2020,1,18,5,18,3,1,0,1,0,1,9652.61,9378.16,
2020-01-18,QUEENS,5867.52,2020,1,18,5,18,3,1,0,1,0,1,5785.56,5867.52,
2020-01-19,BRONX,4688.1,2020,1,19,6,19,3,1,0,1,0,1,4484.76,4688.1,
2020-01-19,BROOKLYN,7255.95,2020,1,19,6,19,3,1,0,1,0,1,7219.95,7255.95,
2020-01-19,MANHATTAN,9719.81,2020,1,19,6,19,3,1,0,1,0,1,9348.63,9719.81,
2020-01-19,QUEENS,6340.04,2020,1,19,6,19,3,1,0,1,0,1,6035.48,6340.04,
2020-01-20,BRONX,5687.12,2020,1,20,0,20,4,0,0,1,0,1,5822.53,5687.12,
2020-01-20,BROOKLYN,7675.07,2020,1,20,0,20,4,0,0,1,0,1,7434.64,7675.07,
2020-01-20,MANHATTAN,9396.59,2020,1,20,0,20,4,0,0,1,0,1,9114.04,9396.59,
2020-01-20,QUEENS,6429.59,2020,1,20,0,20,4,0,0,1,0,1,6309.81,6429.59,
2020-01-21,BRONX,4708.38,2020,1,21,1,21,4,0,1,1,0,1,4658.81,4708.38,
2020-01-21,BROOKLYN,6933.4,2020,1,21,1,21,4,0,1,1,0,1,7009.66,6933.4,
2020-01-21,MANHATTAN,8085.45,2020,1,21,1,21,4,0,1,1,0,1,7871.66,8085.45,
2020-01-21,QUEENS,6528.16,2020,1,21,1,21,4,0,1,1,0,1,6236.89,6528.16,
2020-01-22,BRONX,5587.84,2020,1,22,2,22,4,0,0,1,0,1,5622.17,5587.84,
2020-01-22,BROOKLYN,7425.98,2020,1,22,2,22,4,0,0,1,0,1,7304.88,7425.98,
2020-01-22,MANHATTAN,9471.5,2020,1,22,2,22,4,0,0,1,0,1,9430.17,9471.5,
2020-01-22,QUEENS,6538.92,2020,1,22,2,22,4,0,0,1,0,1,6235.45,6538.92,
2020-01-23,BRONX,5669.19,2020,1,23,3,23,4,0,0,1,0,1,5589.48,5669.19,
2020-01-23,BROOKLYN,8176.14,2020,1,23,3,23,4,0,0,1,0,1,8069.27,8176.14,
2020-01-23,MANHATTAN,9032.09,2020,1,23,3,23,4,0,0,1,0,1,8893.4,9032.09,
2020-01-23,QUEENS,7072.14,2020,1,23,3,23,4,0,0,1,0,1,6829.66,7072.14,
2020-01-24,BRONX,6040.42,2020,1,24,4,24,4,0,0,1,0,1,5976.85,6040.42,
2020-01-24,BROOKLYN,7594.01,2020,1,24,4,24,4,0,0,1,0,1,7541.85,7594.01,
2020-01-24,MANHATTAN,8894.34,2020,1,24,4,24,4,0,0,1,0,1,8856.47,8894.34,
2020-01-24,QUEENS,7373.77,2020,1,24,4,24,4,0,0,1,0,1,7105.26,7373.77,
2020-01-25,BRONX,4922.46,2020,1,25,5,25,4,1,0,1,0,1,4864.65,4922.46,
2020-01-25,BROOKLYN,7145.87,2020,1,25,5,25,4,1,0,1,0,1,7274.04,7145.87,
2020-01-25,MANHATTAN,9235.28,2020,1,25,5,25,4,1,0,1,0,1,8911.36,9235.28,
2020-01-25,QUEENS,5661.0,2020,1,25,5,25,4,1,0,1,0,1,5455.41,5661.0,
2020-01-26,BRONX,4678.15,2020,1,26,6,26,4,1,0,1,0,1,4616.51,4678.15,
2020-01-26,BROOKLYN,6958.71,2020,1,26,6,26,4,1,0,1,0,1,6934.66,6958.71,
2020-01-26,MANHATTAN,9356.08,2020,1,26,6,26,4,1,0,1,0,1,9440.95,9356.08,
2020-01-26,QUEENS,5846.1,2020,1,26,6,26,4,1,0,1,0,1,6047.23,5846.1,
2020-01-27,BRONX,5697.84,2020,1,27,0,27,5,0,0,1,0,1,5486.2,5697.84,
2020-01-27,BROOKLYN,7642.63,2020,1,27,0,27,5,0,0,1,0,1,7563.52,7642.63,
2020-01-27,MANHATTAN,9245.53,2020,1,27,0,27,5,0,0,1,0,1,9192.65,9245.53,
2020-01-27,QUEENS,7134.92,2020,1,27,0,27,5,0,0,1,0,1,6981.83,7134.92,
2020-01-28,BRONX,5291.07,2020,1,28,1,28,5,0,0,1,0,1,5024.95,5291.07,
2020-01-28,BROOKLYN,7894.72,2020,1,28,1,28,5,0,0,1,0,1,7872.05,7894.72,
2020-01-28,MANHATTAN,9450.09,2020,1,28,1,28,5,0,0,1,0,1,9025.64,9450.09,
2020-01-28,QUEENS,7030.35,2020,1,28,1,28,5,0,0,1,0,1,6943.92,7030.35,
2020-01-29,BRONX,5280.83,2020,1,29,2,29,5,0,0,1,0,1,5191.45,5280.83,
2020-01-29,BROOKLYN,8098.5,2020,1,29,2,29,5,0,0,1,0,1,7751.4,8098.5,
2020-01-29,MANHATTAN,9517.27,2020,1,29,2,29,5,0,0,1,0,1,9433.67,9517.27,
2020-01-29,QUEENS,7347.44,2020,1,29,2,29,5,0,0,1,0,1,7355.35,7347.44,
2020-01-30,BRONX,5144.42,2020,1,30,3,30,5,0,0,1,0,1,4945.04,5144.42,
2020-01-30,BROOKLYN,8282.95,2020,1,30,3,30,5,0,0,1,0,1,8202.4,8282.95,
2020-01-30,MANHATTAN,9590.78,2020,1,30,3,30,5,0,0,1,0,1,10137.98,9590.78,
2020-01-30,QUEENS,7168.96,2020,1,30,3,30,5,0,0,1,0,1,7188.4,7168.96,
2020-01-31,BRONX,5788.54,2020,1,31,4,31,5,0,0,1,0,1,5748.18,5560.14,666.72
2020-01-31,BROOKLYN,7762.97,2020,1,31,4,31,5,0,0,1,0,1,7570.94,7417.05,789.01
2020-01-31,MANHATTAN,10432.1,2020,1,31,4,31,5,0,0,1,0,1,9833.87,10333.91,706.73
2020-01-31,QUEENS,6805.53,2020,1,31,4,31,5,0,0,1,0,1,6817.64,6614.49,533.86
2020-02-01,BRONX,4867.91,2020,2,1,5,32,5,1,0,1,0,1,4836.72,4615.21,507.87
2020-02-01,BROOKLYN,7395.34,2020,2,1,5,32,5,1,0,1,0,1,7151.06,7649.14,833.29
2020-02-01,MANHATTAN,9033.49,2020,2,1,5,32,5,1,0,1,0,1,8886.51,8583.14,1057.36
2020-02-01,QUEENS,6116.47,2020,2,1,5,32,5,1,0,1,0,1,5980.1,6025.64,717.55
2020-02-02,BRONX,4745.49,2020,2,2,6,33,5,1,0,1,0,1,4618.83,4535.51,412.54
2020-02-02,BROOKLYN,8029.85,2020,2,2,6,33,5,1,0,1,0,1,7934.29,7485.21,950.39
2020-02-02,MANHATTAN,11117.77,2020,2,2,6,33,5,1,0,1,0,1,11124.99,10277.48,1004.1
2020-02-02,QUEENS,6772.28,2020,2,2,6,33,5,1,0,1,0,1,6540.98,6659.28,782.15
2020-02-03,BRONX,5664.11,2020,2,3,0,34,6,0,0,1,0,1,5544.08,4943.42,450.37
